gene,rank_GSE174554,rank_stat_GSE174554,program_GSE174554,rank_GSE274546,rank_stat_GSE274546,program_GSE274546,miller_raw20,density,shared_leading_edge,labelled,display_role,display_label
RBFOX1,1,6.232602948543594,False,905,2.0710439570459434,False,False,0.6931471805599453,False,False,transcriptome_background,
ROBO2,2,5.268494426845643,False,6556,0.3331128003580049,False,False,0.6931471805599453,False,False,transcriptome_background,
RALYL,3,5.163459037575664,False,68,3.5633622501860094,False,False,0.6931471805599453,False,False,transcriptome_background,
OPRM1,4,4.679860296281898,False,2659,1.203622470809751,False,False,0.6931471805599453,False,False,transcriptome_background,
GPR34,5,4.624977696633163,False,7650,0.1511055667039781,False,False,0.6931471805599453,False,False,transcriptome_background,
RYR2,6,4.596322115577976,False,138,3.196849510719765,False,False,0.6931471805599453,False,False,transcriptome_background,
IPCEF1,8,4.398347302782001,False,2695,1.192354574795329,False,False,0.6931471805599453,False,False,transcriptome_background,
ENPP1,9,4.392966971529094,False,10402,-0.3003814780033309,False,False,0.6931471805599453,False,False,transcriptome_background,
CPED1,10,4.349299752670434,False,3261,1.037154025554657,False,False,0.6931471805599453,False,False,transcriptome_background,
NTRK2,11,4.324131571929271,False,5273,0.5786738893516908,False,False,0.6931471805599453,False,False,transcriptome_background,
SPNS2,14,4.2555874110298335,False,9628,-0.1785015604867173,False,False,0.6931471805599453,False,False,transcriptome_background,
FAM177B,15,4.1409988945528715,False,3544,0.9648731395076624,False,False,0.6931471805599453,False,False,transcriptome_background,
MLXIPL,16,4.117563011779346,False,15520,-1.3383335956855973,False,False,0.6931471805599453,False,False,transcriptome_background,
BHLHE41,17,4.102884683114796,True,4887,0.6568005349594266,True,True,1.0986122886681098,False,False,other_measured_raw20,
HDAC9,18,4.100057420449133,False,5080,0.612633037742396,False,False,1.0986122886681098,False,False,transcriptome_background,
FOLR2,19,4.073323967706055,True,2400,1.2865765148160837,True,True,0.6931471805599453,True,True,shared_leading_edge,FOLR2
TENM3,20,4.0452967154394,False,5206,0.5893002411637229,False,False,0.6931471805599453,False,False,transcriptome_background,
ATP1A2,21,4.041150524969789,False,12011,-0.5672128081384085,False,False,0.6931471805599453,False,False,transcriptome_background,
COL25A1,22,4.033185450827299,False,2668,1.2021593600609195,False,False,0.6931471805599453,False,False,transcriptome_background,
CDH18,23,4.028776871577923,False,943,2.046969493662776,False,False,0.6931471805599453,False,False,transcriptome_background,
ADGRG1,24,4.018950859701124,False,8513,0.0031833973446981,False,False,0.6931471805599453,False,False,transcriptome_background,
CKB,25,3.948663767224464,False,6631,0.3222783724734208,False,False,0.6931471805599453,False,False,transcriptome_background,
CEBPA,27,3.9224602036723586,False,15778,-1.4218868775953732,False,False,0.6931471805599453,False,False,transcriptome_background,
TENM2,28,3.893369590827475,False,156,3.128510103067866,False,False,0.6931471805599453,False,False,transcriptome_background,
GAREM1,29,3.801317827893203,False,4566,0.7190600211338752,False,False,1.0986122886681098,False,False,transcriptome_background,
PLVAP,30,3.781053908014616,False,6254,0.384618005740744,False,False,0.6931471805599453,False,False,transcriptome_background,
HIST1H2BG,31,3.765901413509347,False,14194,-0.998040199318008,False,False,0.6931471805599453,False,False,transcriptome_background,
MGLL,32,3.7374090762289054,False,951,2.0413414763155475,False,False,0.6931471805599453,False,False,transcriptome_background,
RASSF8,33,3.7232344151784615,False,3306,1.0254262508460177,False,False,0.6931471805599453,False,False,transcriptome_background,
STON2,34,3.723047666306073,False,536,2.4225665698413885,False,False,0.6931471805599453,False,False,transcriptome_background,
RECK,35,3.716809425952022,False,5700,0.4941092483026127,False,False,0.6931471805599453,False,False,transcriptome_background,
GPC5,36,3.701053098655665,False,4564,0.7196414419140896,False,False,1.0986122886681098,False,False,transcriptome_background,
PIP5K1B,37,3.6206972568192857,False,8332,0.0353067099502842,False,False,0.6931471805599453,False,False,transcriptome_background,
SMAD3,38,3.6086240980037254,False,1713,1.5810560929223223,False,False,0.6931471805599453,False,False,transcriptome_background,
TAL1,39,3.607706829150437,False,4481,0.7383182424075129,False,False,0.6931471805599453,False,False,transcriptome_background,
FCGR1A,40,3.58479411010122,False,2253,1.3452684574122815,False,False,0.6931471805599453,False,False,transcriptome_background,
OGFRL1,41,3.572751332912675,False,13602,-0.8690468104813992,False,False,0.6931471805599453,False,False,transcriptome_background,
CX3CR1,42,3.5550346197596867,False,11209,-0.4335275020171338,False,False,0.6931471805599453,False,False,transcriptome_background,
GADD45G,43,3.5319537492562807,False,995,2.006634489049386,False,False,0.6931471805599453,False,False,transcriptome_background,
SELPLG,44,3.52270425728871,False,11960,-0.5581780511743677,False,False,0.6931471805599453,False,False,transcriptome_background,
TREML1,45,3.5100653665769244,False,6975,0.2668350856203159,False,False,0.6931471805599453,False,False,transcriptome_background,
CHD7,46,3.4791285570074155,False,3137,1.0696505612326763,False,False,0.6931471805599453,False,False,transcriptome_background,
ENO4,47,3.4683762515386216,False,3919,0.8650692709744474,False,False,1.0986122886681098,False,False,transcriptome_background,
EBI3,48,3.465454331002632,False,5464,0.5359157877661107,False,False,0.6931471805599453,False,False,transcriptome_background,
PLK3,49,3.4311121868626504,False,11314,-0.4504766487835235,False,False,0.6931471805599453,False,False,transcriptome_background,
RTTN,51,3.403824792903462,False,6919,0.2743239994278535,False,False,0.6931471805599453,False,False,transcriptome_background,
ANKS1B,53,3.39309459326409,False,18,4.275068428085567,False,False,0.6931471805599453,False,False,transcriptome_background,
LILRB4,54,3.3914207156314298,False,10185,-0.2661801900497537,False,False,0.6931471805599453,False,False,transcriptome_background,
BIN1,55,3.3837713554447943,False,10973,-0.3967136428121145,False,False,0.6931471805599453,False,False,transcriptome_background,
LINC01268,56,3.379445413837454,False,14345,-1.030355787866405,False,False,0.6931471805599453,False,False,transcriptome_background,
NRG3,57,3.376835179510469,False,382,2.6281173747238,False,False,0.6931471805599453,False,False,transcriptome_background,
JUNB,58,3.348153400152314,False,386,2.6178151816225186,False,False,1.0986122886681098,False,False,transcriptome_background,
RNF125,59,3.340599849898413,False,13132,-0.773261015239088,False,False,0.6931471805599453,False,False,transcriptome_background,
HS6ST3,60,3.3285371128694208,False,415,2.5818972342717963,False,False,1.0986122886681098,False,False,transcriptome_background,
NAA20,61,3.312282657746769,False,5011,0.6271754221217386,False,False,0.6931471805599453,False,False,transcriptome_background,
DHRS9,62,3.309249066674719,False,3628,0.9408619688687272,False,False,1.0986122886681098,False,False,transcriptome_background,
CNTN5,63,3.309172959332679,False,299,2.7944837686185835,False,False,0.6931471805599453,False,False,transcriptome_background,
DEPTOR,64,3.308376499982824,False,2727,1.1838142005405368,False,False,0.6931471805599453,False,False,transcriptome_background,
SHTN1,65,3.305542642787822,False,2529,1.2429859537774028,False,False,1.0986122886681098,False,False,transcriptome_background,
PXYLP1,66,3.30168561127611,False,5655,0.5014897596996244,False,False,0.6931471805599453,False,False,transcriptome_background,
PIGX,67,3.300823227653565,False,4,4.865234653687805,False,False,0.6931471805599453,False,False,transcriptome_background,
RGS7,68,3.2965420222055415,False,2033,1.4323966041428715,False,False,1.3862943611198906,False,False,transcriptome_background,
TBC1D4,69,3.291666603528006,False,9853,-0.212577455662756,False,False,0.6931471805599453,False,False,transcriptome_background,
LINC00987,70,3.2735650555191356,False,13520,-0.849862862925098,False,False,0.6931471805599453,False,False,transcriptome_background,
STEAP1B,71,3.250504874343092,False,5774,0.4790501801351305,False,False,1.0986122886681098,False,False,transcriptome_background,
PKD2L2,72,3.2499252121790434,False,14276,-1.0142315516112923,False,False,0.6931471805599453,False,False,transcriptome_background,
LYST,73,3.242415745769996,False,2198,1.3611046090704049,False,False,1.3862943611198906,False,False,transcriptome_background,
OSBPL6,74,3.229076042994172,False,7144,0.2388236082401909,False,False,0.6931471805599453,False,False,transcriptome_background,
TRMT1,75,3.228310849426523,False,5800,0.4748131491151103,False,False,1.0986122886681098,False,False,transcriptome_background,
ADRB2,76,3.224348790242411,False,10502,-0.3180887135059133,False,False,0.6931471805599453,False,False,transcriptome_background,
IFNGR1,78,3.211303869869916,False,8023,0.087027785223444,False,False,0.6931471805599453,False,False,transcriptome_background,
SLC25A27,80,3.183888628064509,False,390,2.6121468676525295,False,False,1.0986122886681098,False,False,transcriptome_background,
BCAR3,81,3.173887536940731,False,4688,0.6925720106057903,False,False,0.6931471805599453,False,False,transcriptome_background,
UBE2E2,82,3.1730966454047063,False,1940,1.472865665220291,False,False,1.3862943611198906,False,False,transcriptome_background,
NAV2,83,3.1708996223622723,False,392,2.60924720501432,False,False,1.0986122886681098,False,False,transcriptome_background,
P2RY13,84,3.1564080338238765,True,12025,-0.569463859260474,True,True,0.6931471805599453,False,False,other_measured_raw20,
SRGAP2-AS1,85,3.1543957475919298,False,4167,0.8121432981246506,False,False,0.6931471805599453,False,False,transcriptome_background,
CD14,86,3.1501043194842024,False,8712,-0.0269077805287912,False,False,0.6931471805599453,False,False,transcriptome_background,
LINC01480,87,3.139464170589986,False,118,3.307683714134515,False,False,0.6931471805599453,False,False,transcriptome_background,
NFKBIA,88,3.1357932042617622,False,2202,1.360425983844678,False,False,1.0986122886681098,False,False,transcriptome_background,
MED12L,89,3.13107525529947,False,9489,-0.1517078116481488,False,False,1.3862943611198906,False,False,transcriptome_background,
MEG3,90,3.128240311073417,False,2527,1.2438215150595282,False,False,0.6931471805599453,False,False,transcriptome_background,
PRKG1,91,3.1222396000472368,False,13928,-0.9373903964126126,False,False,0.6931471805599453,False,False,transcriptome_background,
LINC01141,92,3.105831025517494,False,10041,-0.2444255340593881,False,False,1.3862943611198906,False,False,transcriptome_background,
HIVEP3,93,3.103164924114896,False,4264,0.787497783520522,False,False,0.6931471805599453,False,False,transcriptome_background,
HCG22,94,3.0943635642485225,False,8562,-0.0034282529653385,False,False,0.6931471805599453,False,False,transcriptome_background,
HIST2H2BF,95,3.0700252496715397,False,3424,1.0006128007625927,False,False,0.6931471805599453,False,False,transcriptome_background,
FCGR1B,96,3.051007803289154,False,1753,1.5621579209189576,False,False,0.6931471805599453,False,False,transcriptome_background,
DGKB,97,3.0459744235786306,False,2845,1.146891608047927,False,False,0.6931471805599453,False,False,transcriptome_background,
FSTL5,98,3.0395724664372454,False,5585,0.5151748988735243,False,False,0.6931471805599453,False,False,transcriptome_background,
CDC42EP3,100,3.0281500005870665,False,1213,1.8514144684551297,False,False,0.6931471805599453,False,False,transcriptome_background,
TMTC1,101,3.027218128582354,False,978,2.019946035479374,False,False,0.6931471805599453,False,False,transcriptome_background,
PLEKHG5,103,2.9995389634123457,False,6913,0.2755019715520627,False,False,0.6931471805599453,False,False,transcriptome_background,
CD69,106,2.9653767229638937,False,10223,-0.2721253202711872,False,False,1.3862943611198906,False,False,transcriptome_background,
DPP10,107,2.9595057384071213,False,315,2.757520901624073,False,False,0.6931471805599453,False,False,transcriptome_background,
MCF2L2,108,2.955651859243974,False,7908,0.1047123470467709,False,False,1.3862943611198906,False,False,transcriptome_background,
IGSF6,109,2.9543058174981227,False,8556,-0.0024984002490378,False,False,0.6931471805599453,False,False,transcriptome_background,
FAM155A,110,2.953452895126206,False,1659,1.6067324668984255,False,False,0.6931471805599453,False,False,transcriptome_background,
RYR1,112,2.9427626784943244,False,5331,0.5667142084654345,False,False,1.0986122886681098,False,False,transcriptome_background,
GRM5,113,2.9391386268748607,False,131,3.229970696416455,False,False,0.6931471805599453,False,False,transcriptome_background,
SALL1,114,2.9359806588533703,False,11157,-0.4246658502521682,False,False,0.6931471805599453,False,False,transcriptome_background,
LYL1,115,2.9355355384442428,False,15194,-1.2349441054077144,False,False,0.6931471805599453,False,False,transcriptome_background,
RNASEH2B-AS1,117,2.9133665859011852,False,7543,0.1686929779989698,False,False,1.3862943611198906,False,False,transcriptome_background,
TMEM132D,118,2.9089792089890913,False,1318,1.7824519935214582,False,False,1.3862943611198906,False,False,transcriptome_background,
