dataset,threshold,signature,gene,tested,logFC,PValue,FDR,shared_leading_edge,gene_order,dataset_order
GSE174554,20,Miller_Microglial_Inflammatory_raw_top20,PDK4,True,0.931041077772874,0.113517161746498,0.712644144425914,True,0,0
GSE274546,20,Miller_Microglial_Inflammatory_raw_top20,PDK4,True,0.40224984972935,0.296374503686571,0.799060543298283,True,0,1
GSE174554,20,Miller_Microglial_Inflammatory_raw_top20,SGK1,True,0.484073741613755,0.0652216255122544,0.614937891984079,True,1,0
GSE274546,20,Miller_Microglial_Inflammatory_raw_top20,SGK1,True,0.437759595384715,0.0101901956423688,0.322063910344347,True,1,1
GSE174554,20,Miller_Microglial_Inflammatory_raw_top20,CCL3,True,1.09147462333094,0.136721304137508,0.742483264439335,True,2,0
GSE274546,20,Miller_Microglial_Inflammatory_raw_top20,CCL3,True,1.00581115736482,0.0015164809273005,0.188106821690573,True,2,1
GSE174554,20,Miller_Microglial_Inflammatory_raw_top20,CH25H,True,1.32726198034353,0.0134870293088862,0.35323008994517,True,3,0
GSE274546,20,Miller_Microglial_Inflammatory_raw_top20,CH25H,True,0.983783568032675,0.0250475642977185,0.410094648173517,True,3,1
GSE174554,20,Miller_Microglial_Inflammatory_raw_top20,SIGLEC8,True,0.56708241492023,0.100859327059357,0.685249032586349,True,4,0
GSE274546,20,Miller_Microglial_Inflammatory_raw_top20,SIGLEC8,True,0.257764624350723,0.325033902680002,0.81461422332962,True,4,1
GSE174554,20,Miller_Microglial_Inflammatory_raw_top20,KLF6,True,0.610543904069084,0.0409885557132679,0.53539355241166,True,5,0
GSE274546,20,Miller_Microglial_Inflammatory_raw_top20,KLF6,True,0.140430387754796,0.29741305862599,0.799790863041705,True,5,1
GSE174554,20,Miller_Microglial_Inflammatory_raw_top20,FOLR2,True,1.73790386220637,7.36295660520542e-05,0.0506522328060765,True,6,0
GSE274546,20,Miller_Microglial_Inflammatory_raw_top20,FOLR2,True,0.379275244658607,0.204056673262097,0.742031819586233,True,6,1
GSE174554,20,Miller_Microglial_Inflammatory_raw_top20,CCL4,True,1.37021923750983,0.0733500835349656,0.631275656378073,True,7,0
GSE274546,20,Miller_Microglial_Inflammatory_raw_top20,CCL4,True,0.875995892482766,0.0111937656570288,0.332587474043971,True,7,1
