"dataset","run_type","omitted_patient","n_pairs_before","n_pairs_after","n_units","n_genes_input","n_tested_genes","design_rank","residual_df","coefficient","seed","threshold_min_cells_per_endpoint","workers"
"GSE174554","Full","None",18,18,36,33694,10319,19,17,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair1",18,17,34,33694,10275,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair11",18,17,34,33694,10174,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair13",18,17,34,33694,9694,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair14",18,17,34,33694,10654,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair16",18,17,34,33694,10467,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair20",18,17,34,33694,9402,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair22",18,17,34,33694,10283,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair25",18,17,34,33694,10216,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair26",18,17,34,33694,10203,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair27",18,17,34,33694,9402,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair28",18,17,34,33694,10777,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair29",18,17,34,33694,9382,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair32",18,17,34,33694,10088,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair33",18,17,34,33694,10245,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair35",18,17,34,33694,10481,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair37",18,17,34,33694,10238,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair40",18,17,34,33694,9409,18,16,"conditionRecurrent",42,20,9
"GSE174554","Leave-one-patient-out","GSE174554_pair9",18,17,34,33694,10221,18,16,"conditionRecurrent",42,20,9
"GSE274546","Full","None",45,45,90,33538,17862,46,44,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_DU01",45,44,88,33538,17979,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_DU02",45,44,88,33538,17851,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_DU03",45,44,88,33538,17632,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_DU04",45,44,88,33538,17852,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_DU06",45,44,88,33538,17834,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_FR01",45,44,88,33538,17960,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_FR02",45,44,88,33538,17978,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_FR05",45,44,88,33538,17846,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_FR07",45,44,88,33538,17845,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_FR09",45,44,88,33538,17823,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_FR10",45,44,88,33538,17841,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_FR11",45,44,88,33538,17840,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_FR12",45,44,88,33538,17851,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_FR14",45,44,88,33538,17847,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_FR16",45,44,88,33538,17827,45,43,"conditionRecurrent",42,20,9
"GSE274546","Leave-one-patient-out","GSE274546_MD01",45,44,88,33538,17846,45,43,"conditionRecurrent",42,20,9
