"dataset","run_type","omitted_patient","n_pairs","n_tested_genes","pathway","size","ES","NES","nominal_P","log2err","leadingEdge"
"GSE174554","Full","None",17,10245,"Miller_Microglial_Inflammatory_raw_top20",19,0.790254142536925,2.4290789842056,4.00136234233155e-07,0.674962860011025,"BHLHE41;FOLR2;P2RY13;P2RY12;CH25H;SIGLEC8;PDK4;ITM2C;KLF6;KLF2;SGK1;CCL4;JUN;CTTNBP2"
"GSE174554","Leave-one-patient-out","GSE174554_pair1",16,10198,"Miller_Microglial_Inflammatory_raw_top20",19,0.793436014950601,2.35606459202489,3.92927491401312e-07,0.674962860011025,"BHLHE41;FOLR2;P2RY13;P2RY12;SIGLEC8;KLF2;PDK4;KLF6;SGK1;CH25H;JUN;ITM2C;CCL4;GSTM3;CCL3;CTTNBP2"
"GSE174554","Leave-one-patient-out","GSE174554_pair11",16,10093,"Miller_Microglial_Inflammatory_raw_top20",19,0.783750432035891,2.38246194705221,4.28952254756844e-07,0.674962860011025,"BHLHE41;FOLR2;P2RY13;P2RY12;CH25H;KLF2;ITM2C;PDK4;SIGLEC8;KLF6;SGK1;JUN;CCL4"
"GSE174554","Leave-one-patient-out","GSE174554_pair13",16,9644,"Miller_Microglial_Inflammatory_raw_top20",18,0.805214185343975,2.39803251819407,2.31017847818841e-07,0.690132458796796,"BHLHE41;FOLR2;P2RY13;P2RY12;SIGLEC8;KLF2;CH25H;KLF6;SGK1;PDK4;ITM2C;CCL4;CTTNBP2;JUN;CCL3"
"GSE174554","Leave-one-patient-out","GSE174554_pair14",16,10546,"Miller_Microglial_Inflammatory_raw_top20",19,0.792127509114895,2.35503538282606,7.99018658158004e-07,0.659444398037935,"BHLHE41;FOLR2;P2RY13;P2RY12;CH25H;SIGLEC8;PDK4;KLF6;ITM2C;KLF2;SGK1;CTTNBP2;JUN"
"GSE174554","Leave-one-patient-out","GSE174554_pair16",16,10356,"Miller_Microglial_Inflammatory_raw_top20",18,0.809297084462105,2.40644543459008,2.24222937817978e-07,0.690132458796796,"BHLHE41;FOLR2;P2RY13;P2RY12;CH25H;SIGLEC8;ITM2C;PDK4;SGK1;KLF2;KLF6;CCL4;CTTNBP2;JUN"
"GSE174554","Leave-one-patient-out","GSE174554_pair20",16,9360,"Miller_Microglial_Inflammatory_raw_top20",18,0.783642741551029,2.28362708231644,1.1544539485341e-06,0.643551836150722,"FOLR2;BHLHE41;P2RY13;P2RY12;ITM2C;CH25H;SGK1;SIGLEC8;KLF6;PDK4;KLF2;CTTNBP2;JUN;CCL4"
"GSE174554","Leave-one-patient-out","GSE174554_pair22",16,10208,"Miller_Microglial_Inflammatory_raw_top20",19,0.764914975604155,2.28062330508579,2.6564036622457e-06,0.627256739718528,"FOLR2;BHLHE41;P2RY13;P2RY12;CH25H;KLF6;ITM2C;KLF2;SIGLEC8;PDK4;JUN;SGK1;CCL4"
"GSE174554","Leave-one-patient-out","GSE174554_pair25",16,10142,"Miller_Microglial_Inflammatory_raw_top20",19,0.739426923601143,2.23745306405979,1.12193988654043e-05,0.593325476396405,"BHLHE41;FOLR2;P2RY13;P2RY12;CH25H;SIGLEC8;ITM2C;PDK4;KLF2;KLF6;SGK1;JUN;CCL4;CTTNBP2;GSTM3;CCL3"
"GSE174554","Leave-one-patient-out","GSE174554_pair26",16,10127,"Miller_Microglial_Inflammatory_raw_top20",19,0.783048356800985,2.35677021581993,5.81287569604156e-07,0.659444398037935,"FOLR2;BHLHE41;P2RY13;P2RY12;CH25H;SIGLEC8;ITM2C;KLF2;PDK4;SGK1;KLF6;CCL4;CTTNBP2;JUN"
"GSE174554","Leave-one-patient-out","GSE174554_pair27",16,9359,"Miller_Microglial_Inflammatory_raw_top20",18,0.85716291576884,2.50473011216459,2.6942460163879e-09,0.774939030136436,"CH25H;BHLHE41;FOLR2;ITM2C;P2RY13;KLF6;P2RY12;SGK1;PDK4;KLF2;JUN;CCL4;RHOB;SIGLEC8;CTTNBP2;CCL3"
