tested_marker_set,assigned_state,n_patients,patient_balanced_mean_marker_set_score,within_marker_set_z,block
E-MDSC,E-MDSC,17,1.6835461357979153,2.2213607054156874,Author marker-set assignment scores; classification QC
E-MDSC,M-MDSC,11,1.2154884354797924,0.9661997898326999,Author marker-set assignment scores; classification QC
E-MDSC,MAC1,3,0.6551962563140853,-0.5363005303578154,Author marker-set assignment scores; classification QC
E-MDSC,MAC2,12,0.7416146356183836,-0.304557794329633,Author marker-set assignment scores; classification QC
E-MDSC,MCG1,18,0.7278580326891694,-0.3414480117455808,Author marker-set assignment scores; classification QC
E-MDSC,MCG2,20,0.6066283819289117,-0.666541946404985,Author marker-set assignment scores; classification QC
E-MDSC,MCG3,5,0.3776431665793853,-1.2805972057410326,Author marker-set assignment scores; classification QC
E-MDSC,MCG4,12,0.6489463895799651,-0.5530604051487616,Author marker-set assignment scores; classification QC
E-MDSC,MCG5,10,1.0397545961424017,0.49494539847942026,Author marker-set assignment scores; classification QC
M-MDSC,E-MDSC,17,0.9344511545055518,0.603073881005333,Author marker-set assignment scores; classification QC
M-MDSC,M-MDSC,11,1.7541661681094292,2.429978519965431,Author marker-set assignment scores; classification QC
M-MDSC,MAC1,3,0.41294151297811776,-0.5592183395313246,Author marker-set assignment scores; classification QC
M-MDSC,MAC2,12,0.8130642070839995,0.33253793415392535,Author marker-set assignment scores; classification QC
M-MDSC,MCG1,18,0.49056971558141815,-0.3862078162439749,Author marker-set assignment scores; classification QC
M-MDSC,MCG2,20,0.3353210717631247,-0.7322115649577494,Author marker-set assignment scores; classification QC
M-MDSC,MCG3,5,0.11225854553293177,-1.2293525922477861,Author marker-set assignment scores; classification QC
M-MDSC,MCG4,12,0.5864428769686748,-0.17253462448419807,Author marker-set assignment scores; classification QC
M-MDSC,MCG5,10,0.5355026815729521,-0.2860653976596565,Author marker-set assignment scores; classification QC
MAC1,E-MDSC,17,0.3350287149830342,-0.9048002515356078,Author marker-set assignment scores; classification QC
MAC1,M-MDSC,11,0.21361464105310218,-1.1769727597479034,Author marker-set assignment scores; classification QC
MAC1,MAC1,3,1.882239307400542,2.5635636212879485,Author marker-set assignment scores; classification QC
MAC1,MAC2,12,0.8508787626303383,0.25157476155079705,Author marker-set assignment scores; classification QC
MAC1,MCG1,18,0.6505798089779342,-0.19743305808083983,Author marker-set assignment scores; classification QC
MAC1,MCG2,20,0.6240959711547601,-0.25680156729980225,Author marker-set assignment scores; classification QC
MAC1,MCG3,5,0.6349907147361916,-0.23237894815105956,Author marker-set assignment scores; classification QC
MAC1,MCG4,12,0.7187432724627781,-0.044631819932668834,Author marker-set assignment scores; classification QC
MAC1,MCG5,10,0.7377074799140789,-0.002119978090860976,Author marker-set assignment scores; classification QC
MAC2,E-MDSC,17,0.6677831501647595,-0.9134920799033847,Author marker-set assignment scores; classification QC
MAC2,M-MDSC,11,0.9263942466688317,-0.2390282608239281,Author marker-set assignment scores; classification QC
MAC2,MAC1,3,1.0329549642792044,0.03888459571974974,Author marker-set assignment scores; classification QC
MAC2,MAC2,12,1.959260373513341,2.45471087847238,Author marker-set assignment scores; classification QC
MAC2,MCG1,18,1.2201877467997042,0.527192093977703,Author marker-set assignment scores; classification QC
MAC2,MCG2,20,1.0153120195407976,-0.0071286189061209645,Author marker-set assignment scores; classification QC
MAC2,MCG3,5,0.535141906219596,-1.2594235622259002,Author marker-set assignment scores; classification QC
MAC2,MCG4,12,0.9542151726294136,-0.16647063190793396,Author marker-set assignment scores; classification QC
MAC2,MCG5,10,0.8511586696173579,-0.4352444144025691,Author marker-set assignment scores; classification QC
MCG1,E-MDSC,17,0.765403347665169,-0.6649914197351879,Author marker-set assignment scores; classification QC
MCG1,M-MDSC,11,0.8230916445013577,-0.518762068838365,Author marker-set assignment scores; classification QC
MCG1,MAC1,3,1.0781854693620063,0.12785442831847751,Author marker-set assignment scores; classification QC
MCG1,MAC2,12,1.418373216177207,0.9901685566259286,Author marker-set assignment scores; classification QC
MCG1,MCG1,18,1.8344702844453806,2.0448990225937984,Author marker-set assignment scores; classification QC
MCG1,MCG2,20,1.262790939990101,0.5957957547646868,Author marker-set assignment scores; classification QC
MCG1,MCG3,5,0.5757558304643048,-1.1457134181367727,Author marker-set assignment scores; classification QC
MCG1,MCG4,12,0.5647643777168772,-1.1735747537770578,Author marker-set assignment scores; classification QC
MCG1,MCG5,10,0.9268805300155858,-0.25567610181550937,Author marker-set assignment scores; classification QC
MCG2,E-MDSC,17,0.8254902785253205,-1.2385620108275435,Author marker-set assignment scores; classification QC
MCG2,M-MDSC,11,0.8634205490014111,-1.1131036698262573,Author marker-set assignment scores; classification QC
MCG2,MAC1,3,1.20637280588457,0.021246827841029322,Author marker-set assignment scores; classification QC
MCG2,MAC2,12,1.5419800804927994,1.1313030275945333,Author marker-set assignment scores; classification QC
MCG2,MCG1,18,1.5512334538263806,1.161909528748497,Author marker-set assignment scores; classification QC
MCG2,MCG2,20,1.6597066724795635,1.520696056882445,Author marker-set assignment scores; classification QC
MCG2,MCG3,5,0.9181216526977032,-0.932174041997685,Author marker-set assignment scores; classification QC
MCG2,MCG4,12,1.0069332725964102,-0.6384203103665832,Author marker-set assignment scores; classification QC
MCG2,MCG5,10,1.2262838200564983,0.08710459195156604,Author marker-set assignment scores; classification QC
MCG3,E-MDSC,17,0.26656340347599716,-1.2479041453502109,Author marker-set assignment scores; classification QC
MCG3,M-MDSC,11,0.12391663048608897,-1.6547900785744758,Author marker-set assignment scores; classification QC
MCG3,MAC1,3,0.76970049279472,0.18724506858729617,Author marker-set assignment scores; classification QC
MCG3,MAC2,12,0.6873913679725835,-0.04753363943504958,Author marker-set assignment scores; classification QC
MCG3,MCG1,18,0.668508509868632,-0.10139514068409111,Author marker-set assignment scores; classification QC
MCG3,MCG2,20,0.6952271179717078,-0.0251829308695549,Author marker-set assignment scores; classification QC
MCG3,MCG3,5,1.4262976090018333,2.060123962238771,Author marker-set assignment scores; classification QC
MCG3,MCG4,12,0.9141287873025404,0.5992126172605562,Author marker-set assignment scores; classification QC
MCG3,MCG5,10,0.784768221332068,0.23022428682676163,Author marker-set assignment scores; classification QC
MCG4,E-MDSC,17,0.4904586522913547,-1.3491072739756829,Author marker-set assignment scores; classification QC
MCG4,M-MDSC,11,0.4547346774138037,-1.460221080746236,Author marker-set assignment scores; classification QC
MCG4,MAC1,3,1.0067677482438426,0.2567909867353453,Author marker-set assignment scores; classification QC
MCG4,MAC2,12,1.2365864453407724,0.9716059083395864,Author marker-set assignment scores; classification QC
MCG4,MCG1,18,0.8089164504344926,-0.358594365802959,Author marker-set assignment scores; classification QC
MCG4,MCG2,20,0.7851650319845286,-0.4324694183194208,Author marker-set assignment scores; classification QC
MCG4,MCG3,5,0.9774138228842272,0.16549021739080197,Author marker-set assignment scores; classification QC
MCG4,MCG4,12,1.5341379173700762,1.8970929763571465,Author marker-set assignment scores; classification QC
MCG4,MCG5,10,1.0236858396808812,0.3094120500214172,Author marker-set assignment scores; classification QC
MCG5,E-MDSC,17,0.9810858198687946,-0.11041520717424452,Author marker-set assignment scores; classification QC
MCG5,M-MDSC,11,0.7894178625000808,-0.8466877580179815,Author marker-set assignment scores; classification QC
MCG5,MAC1,3,1.0299631065603514,0.07734181306406554,Author marker-set assignment scores; classification QC
MCG5,MAC2,12,0.9963388700344892,-0.05182219920453278,Author marker-set assignment scores; classification QC
MCG5,MCG1,18,0.9690332772543585,-0.15671379780310374,Author marker-set assignment scores; classification QC
MCG5,MCG2,20,0.9280466328078726,-0.3141597354101237,Author marker-set assignment scores; classification QC
MCG5,MCG3,5,0.7144350385616706,-1.1347264881662675,Author marker-set assignment scores; classification QC
MCG5,MCG4,12,0.9892279211321907,-0.07913817084158103,Author marker-set assignment scores; classification QC
MCG5,MCG5,10,1.6909154375767113,2.616321543553771,Author marker-set assignment scores; classification QC
