state,gene,n_patients,patient_balanced_mean_log_expression,patient_balanced_pct_detected,within_gene_z,block
E-MDSC,BHLHE41,17,0.5486836166066282,43.6866571740868,-0.496023284317732,Held-out Miller-IM genes; not used for state assignment
E-MDSC,CCL3,17,2.2993760179070866,85.77420106565128,-0.9080820902526132,Held-out Miller-IM genes; not used for state assignment
E-MDSC,CCL4,17,1.934339561883141,81.65917358480957,-1.1030816789913491,Held-out Miller-IM genes; not used for state assignment
E-MDSC,CH25H,17,0.080970949931618,8.91739745354795,-1.3381772180496654,Held-out Miller-IM genes; not used for state assignment
E-MDSC,CTTNBP2,17,0.0248602398890344,3.212630331226579,-1.195924618372469,Held-out Miller-IM genes; not used for state assignment
E-MDSC,FOLR2,17,0.1260094885604784,14.363813826616749,-1.4766491611712127,Held-out Miller-IM genes; not used for state assignment
E-MDSC,GSTM3,17,0.1425606076989103,16.658000642679735,-0.6585944642496288,Held-out Miller-IM genes; not used for state assignment
E-MDSC,ITM2C,17,0.0491441209417055,7.0043234520891815,-1.3560923215863518,Held-out Miller-IM genes; not used for state assignment
E-MDSC,JUN,17,2.025019645690918,86.17027486886461,0.785546122412429,Held-out Miller-IM genes; not used for state assignment
E-MDSC,KLF2,17,0.4904397419270347,38.942354844658986,-0.9723882245463356,Held-out Miller-IM genes; not used for state assignment
E-MDSC,KLF6,17,2.6613435044008145,91.85210403722742,0.7197228489734008,Held-out Miller-IM genes; not used for state assignment
E-MDSC,NLRP3,17,0.4340535060447805,36.886911722085614,-0.953742902100062,Held-out Miller-IM genes; not used for state assignment
E-MDSC,P2RY12,17,0.030700700919089,4.094782542100356,-1.1558209737889555,Held-out Miller-IM genes; not used for state assignment
E-MDSC,P2RY13,17,0.0612589490106877,6.903401799195027,-1.2756179498907674,Held-out Miller-IM genes; not used for state assignment
E-MDSC,PDK4,17,0.4675412230631884,35.02464606854445,-0.6957005046523018,Held-out Miller-IM genes; not used for state assignment
E-MDSC,RHOB,17,1.0429998145383947,66.0453666499465,-0.1302562040054038,Held-out Miller-IM genes; not used for state assignment
E-MDSC,SGK1,17,1.8270911188686596,82.61243130681407,-0.3163374150224806,Held-out Miller-IM genes; not used for state assignment
E-MDSC,SIGLEC8,17,0.0239832898711457,3.082239685310913,-1.5377754676779676,Held-out Miller-IM genes; not used for state assignment
E-MDSC,USP53,17,0.5747185437118306,47.27909065700378,-0.8894476600288519,Held-out Miller-IM genes; not used for state assignment
M-MDSC,BHLHE41,11,0.0839300385930321,8.821974595171191,-1.7014937627574982,Held-out Miller-IM genes; not used for state assignment
M-MDSC,CCL3,11,2.575240579518405,86.2239939881245,-0.509542754020228,Held-out Miller-IM genes; not used for state assignment
M-MDSC,CCL4,11,1.7650831450115552,75.20286060509608,-1.2998857875051617,Held-out Miller-IM genes; not used for state assignment
M-MDSC,CH25H,11,0.1030700926414944,9.53528218035778,-1.2536909942748389,Held-out Miller-IM genes; not used for state assignment
M-MDSC,CTTNBP2,11,0.0064770391380245,0.8556079496785692,-1.3676730750744452,Held-out Miller-IM genes; not used for state assignment
M-MDSC,FOLR2,11,0.0659564176405018,8.032961405742288,-1.7409082774274098,Held-out Miller-IM genes; not used for state assignment
M-MDSC,GSTM3,11,0.0707055288790301,8.594552296859352,-1.5657647296637076,Held-out Miller-IM genes; not used for state assignment
M-MDSC,ITM2C,11,0.0184543422338637,2.252418942702364,-1.915273606326536,Held-out Miller-IM genes; not used for state assignment
M-MDSC,JUN,11,1.424545938318426,76.13834087886462,-0.8141242869075666,Held-out Miller-IM genes; not used for state assignment
M-MDSC,KLF2,11,0.3366498567841269,32.874762516140315,-1.5646496183294214,Held-out Miller-IM genes; not used for state assignment
M-MDSC,KLF6,11,2.6293021115389736,95.88113342493963,0.6306391153649253,Held-out Miller-IM genes; not used for state assignment
M-MDSC,NLRP3,11,0.8324455943974581,56.94398240106647,0.25715806013539,Held-out Miller-IM genes; not used for state assignment
M-MDSC,P2RY12,11,0.0142806578766215,1.6141006533619835,-1.214505282421108,Held-out Miller-IM genes; not used for state assignment
M-MDSC,P2RY13,11,0.0343699707564982,3.125049967563034,-1.3830939728376372,Held-out Miller-IM genes; not used for state assignment
M-MDSC,PDK4,11,0.2597174698656255,22.796523539884152,-1.8388882331646417,Held-out Miller-IM genes; not used for state assignment
M-MDSC,RHOB,11,0.4965091726996682,42.28176531859212,-2.11965758661206,Held-out Miller-IM genes; not used for state assignment
M-MDSC,SGK1,11,1.4318801272999158,77.89584957562616,-2.441900037979423,Held-out Miller-IM genes; not used for state assignment
M-MDSC,SIGLEC8,11,0.0103176720017059,1.224886076481751,-1.6333967106166265,Held-out Miller-IM genes; not used for state assignment
M-MDSC,USP53,11,0.4244070895524187,36.12154949113896,-1.3135251821011942,Held-out Miller-IM genes; not used for state assignment
MAC1,BHLHE41,3,0.8661335905392965,66.62464985994399,0.3273734361398133,Held-out Miller-IM genes; not used for state assignment
MAC1,CCL3,3,3.0051724116007485,93.61811391223156,0.1115763414607214,Held-out Miller-IM genes; not used for state assignment
MAC1,CCL4,3,3.108918825785319,93.36134453781511,0.2626687556669709,Held-out Miller-IM genes; not used for state assignment
MAC1,CH25H,3,0.8848198552926382,52.48366013071895,1.734980840209696,Held-out Miller-IM genes; not used for state assignment
MAC1,CTTNBP2,3,0.144978587826093,17.26890756302521,-0.0736967126228449,Held-out Miller-IM genes; not used for state assignment
MAC1,FOLR2,3,0.5914231240749359,47.18020541549953,0.5713692687026517,Held-out Miller-IM genes; not used for state assignment
MAC1,GSTM3,3,0.1436043183008829,17.647058823529413,-0.6454176194203249,Held-out Miller-IM genes; not used for state assignment
MAC1,ITM2C,3,0.1897116253773371,24.267040149393093,1.205109519303871,Held-out Miller-IM genes; not used for state assignment
MAC1,JUN,3,1.6310430367787678,82.24089635854342,-0.2640131097456756,Held-out Miller-IM genes; not used for state assignment
MAC1,KLF2,3,0.9361671209335328,66.84873949579831,0.7441558673642784,Held-out Miller-IM genes; not used for state assignment
MAC1,KLF6,3,2.272354682286581,90.28944911297852,-0.3617712282446956,Held-out Miller-IM genes; not used for state assignment
