geo_accession,sample,state,n_target,n_rest,raw20_delta,raw20_pseudobulk_delta,within_state_rank,direction,n_patients,n_positive,mean_delta,fdr_9_states,score_pseudobulk_mean_direction_concordant
GSM8546905,GBM066,MCG1,237,781,-0.0491685324637221,0.3170866966247558,1,Below rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546895,GBM051,MCG1,524,1705,0.0995051439871753,-0.0416889190673828,2,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546885,GBM030,MCG1,828,631,0.1754520390162797,0.0449028015136718,3,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546893,GBM049,MCG1,126,1873,0.1899397637178735,0.161839485168457,4,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546889,GBM043,MCG1,808,902,0.224021572030619,0.4387788772583008,5,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546883,GBM010,MCG1,292,716,0.2588240796974765,0.2249765396118164,6,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546884,GBM029,MCG1,47,306,0.2625883698203086,-0.1130743026733398,7,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546904,GBM065,MCG1,203,1984,0.267295915144043,0.20294189453125,8,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546888,GBM037,MCG1,238,556,0.2715736018906303,0.6260437965393066,9,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546896,GBM052,MCG1,269,700,0.2825759500643641,0.1280746459960937,10,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546900,GBM057,MCG1,631,1188,0.2827486512819139,0.085845947265625,11,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546897,GBM054,MCG1,94,2044,0.2919463203273612,0.6575117111206055,12,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546892,GBM048,MCG1,393,763,0.2938061520809496,0.343179702758789,13,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546886,GBM035,MCG1,463,304,0.3441247289273157,0.6276416778564453,14,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546894,GBM050,MCG1,1583,880,0.417421848689034,0.5177679061889648,15,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546887,GBM036,MCG1,96,308,0.4484287015428628,0.439732551574707,16,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546891,GBM046,MCG1,66,456,0.4532148905065791,-0.1651859283447265,17,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546899,GBM056,MCG1,288,793,0.4996003036818028,1.4488062858581543,18,Above rest,18,17,0.2785499722190481,6.866455078125e-05,True
GSM8546886,GBM035,MCG2,124,643,-0.1088060613374808,-0.3698196411132812,1,Below rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546889,GBM043,MCG2,241,1469,-0.0659953971688273,0.1434040069580078,2,Below rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546894,GBM050,MCG2,422,2041,-0.0645459600635594,0.1039972305297851,3,Below rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546899,GBM056,MCG2,148,933,-0.0133446873615175,0.7818078994750977,4,Below rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546896,GBM052,MCG2,533,436,0.0051473674893918,0.5355138778686523,5,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546900,GBM057,MCG2,716,1103,0.0123413178775827,0.2790117263793945,6,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546883,GBM010,MCG2,352,656,0.0220118520928558,0.1167221069335937,7,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546885,GBM030,MCG2,400,1059,0.0305460697804275,0.1531567573547363,8,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546888,GBM037,MCG2,137,657,0.0592294979421693,0.2574405670166015,9,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546892,GBM048,MCG2,418,738,0.0781786176805386,0.0590696334838867,10,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546893,GBM049,MCG2,981,1018,0.1193197044949256,0.478757381439209,11,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546905,GBM066,MCG2,398,620,0.1221762674220227,0.4905605316162109,12,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546904,GBM065,MCG2,1083,1104,0.1226366854798677,0.3667769432067871,13,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546895,GBM051,MCG2,786,1443,0.1620719371577486,0.6189637184143066,14,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546897,GBM054,MCG2,461,1677,0.1650447114003957,1.023402214050293,15,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546884,GBM029,MCG2,205,148,0.2334355242329222,0.7823977470397949,16,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546887,GBM036,MCG2,112,292,0.2504823551977043,0.4551844596862793,17,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546891,GBM046,MCG2,262,260,0.2571137675931899,0.3465404510498047,18,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546915,GBM082,MCG2,475,1904,0.2814345226689778,0.8965916633605957,19,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546882,GBM009,MCG2,120,117,0.2861883423003736,1.6078014373779297,20,Above rest,20,16,0.0977333217439854,0.0040615081787109,True
GSM8546896,GBM052,MCG3,33,936,-0.1585349602696859,-0.2687263488769531,1,Below rest,5,1,-0.0847913201303971,0.1607142857142857,False
GSM8546892,GBM048,MCG3,39,1117,-0.1265977302509733,0.1800241470336914,2,Below rest,5,1,-0.0847913201303971,0.1607142857142857,False
GSM8546883,GBM010,MCG3,83,925,-0.1123181887884413,-0.0796093940734863,3,Below rest,5,1,-0.0847913201303971,0.1607142857142857,False
GSM8546904,GBM065,MCG3,38,2149,-0.0971760925965853,0.5205998420715332,4,Below rest,5,1,-0.0847913201303971,0.1607142857142857,False
GSM8546894,GBM050,MCG3,49,2414,0.0706703712537002,0.5539693832397461,5,Above rest,5,1,-0.0847913201303971,0.1607142857142857,False
GSM8546900,GBM057,MCG4,129,1690,-0.3975487758184174,-0.4203915596008301,1,Below rest,12,1,-0.1940185334308926,0.002197265625,True
GSM8546891,GBM046,MCG4,79,443,-0.3960401387746994,-0.6858720779418945,2,Below rest,12,1,-0.1940185334308926,0.002197265625,True
GSM8546892,GBM048,MCG4,74,1082,-0.3837454914015027,-0.4320664405822754,3,Below rest,12,1,-0.1940185334308926,0.002197265625,True
GSM8546886,GBM035,MCG4,34,733,-0.3020042002063534,-0.845369815826416,4,Below rest,12,1,-0.1940185334308926,0.002197265625,True
GSM8546904,GBM065,MCG4,54,2133,-0.2013383888976516,-0.4701385498046875,5,Below rest,12,1,-0.1940185334308926,0.002197265625,True
GSM8546883,GBM010,MCG4,48,960,-0.181445474875862,-0.1215815544128418,6,Below rest,12,1,-0.1940185334308926,0.002197265625,True
GSM8546893,GBM049,MCG4,203,1796,-0.1312885067979012,-0.4445528984069824,7,Below rest,12,1,-0.1940185334308926,0.002197265625,True
GSM8546905,GBM066,MCG4,95,923,-0.1247362352778351,-0.565946102142334,8,Below rest,12,1,-0.1940185334308926,0.002197265625,True
GSM8546899,GBM056,MCG4,111,970,-0.094493188461221,-0.697967529296875,9,Below rest,12,1,-0.1940185334308926,0.002197265625,True
GSM8546915,GBM082,MCG4,178,2201,-0.0886308991166088,-0.3414754867553711,10,Below rest,12,1,-0.1940185334308926,0.002197265625,True
GSM8546889,GBM043,MCG4,46,1664,-0.0438770373245652,-0.2030615806579589,11,Below rest,12,1,-0.1940185334308926,0.002197265625,True
GSM8546897,GBM054,MCG4,100,2038,0.0169259357819065,0.0185980796813964,12,Above rest,12,1,-0.1940185334308926,0.002197265625,True
GSM8546891,GBM046,MCG5,71,451,-0.4159747312682147,-1.0479555130004885,1,Below rest,10,3,-0.1221195292707085,0.10546875,True
GSM8546886,GBM035,MCG5,31,736,-0.3711743992278895,-1.196012020111084,2,Below rest,10,3,-0.1221195292707085,0.10546875,True
GSM8546896,GBM052,MCG5,30,939,-0.2615376449219013,-0.9836840629577636,3,Below rest,10,3,-0.1221195292707085,0.10546875,True
GSM8546899,GBM056,MCG5,108,973,-0.1566195445082697,-0.8549270629882812,4,Below rest,10,3,-0.1221195292707085,0.10546875,True
GSM8546895,GBM051,MCG5,78,2151,-0.12244021571256,-0.295966625213623,5,Below rest,10,3,-0.1221195292707085,0.10546875,True
GSM8546894,GBM050,MCG5,46,2417,-0.1096694493118279,-0.1987209320068359,6,Below rest,10,3,-0.1221195292707085,0.10546875,True
GSM8546889,GBM043,MCG5,117,1593,-0.0443005534612271,-0.1912970542907714,7,Below rest,10,3,-0.1221195292707085,0.10546875,True
GSM8546881,GBM006,MCG5,43,321,0.0638308251311023,-0.3403167724609375,8,Above rest,10,3,-0.1221195292707085,0.10546875,True
GSM8546915,GBM082,MCG5,962,1417,0.0740953543906861,0.1784248352050781,9,Above rest,10,3,-0.1221195292707085,0.10546875,True
GSM8546897,GBM054,MCG5,189,1949,0.1225950661830164,0.1427741050720214,10,Above rest,10,3,-0.1221195292707085,0.10546875,True
GSM8546900,GBM057,MAC1,51,1768,-0.4216863021711223,-0.725532054901123,1,Below rest,3,0,-0.283595608205543,0.28125,True
GSM8546894,GBM050,MAC1,35,2428,-0.2503524364483385,-0.6610779762268066,2,Below rest,3,0,-0.283595608205543,0.28125,True
GSM8546895,GBM051,MAC1,60,2169,-0.1787480859971683,-0.5121340751647949,3,Below rest,3,0,-0.283595608205543,0.28125,True
GSM8546896,GBM052,MAC2,47,922,-0.2947421571514393,-1.4966039657592771,1,Below rest,12,5,-0.0329282403218937,0.4990234375,True
GSM8546888,GBM037,MAC2,347,447,-0.2016559972705897,-0.8978514671325684,2,Below rest,12,5,-0.0329282403218937,0.4990234375,True
GSM8546883,GBM010,MAC2,151,857,-0.1685119782078498,-0.8726692199707031,3,Below rest,12,5,-0.0329282403218937,0.4990234375,True
GSM8546895,GBM051,MAC2,675,1554,-0.1564734256817928,-0.6599349975585938,4,Below rest,12,5,-0.0329282403218937,0.4990234375,True
GSM8546900,GBM057,MAC2,176,1643,-0.1420915313860705,-1.0016989707946775,5,Below rest,12,5,-0.0329282403218937,0.4990234375,True
GSM8546887,GBM036,MAC2,69,335,-0.0170068744626076,-0.9738554954528807,6,Below rest,12,5,-0.0329282403218937,0.4990234375,True
GSM8546889,GBM043,MAC2,41,1669,-0.0059890254922543,-0.1758980751037597,7,Below rest,12,5,-0.0329282403218937,0.4990234375,True
GSM8546893,GBM049,MAC2,150,1849,0.0114346825864996,-0.36505126953125,8,Above rest,12,5,-0.0329282403218937,0.4990234375,True
GSM8546904,GBM065,MAC2,286,1901,0.0493245125971112,-0.1823840141296386,9,Above rest,12,5,-0.0329282403218937,0.4990234375,True
GSM8546915,GBM082,MAC2,66,2313,0.0734529333058479,-0.1027412414550781,10,Above rest,12,5,-0.0329282403218937,0.4990234375,True
GSM8546899,GBM056,MAC2,113,968,0.1958310968943039,0.3093214035034179,11,Above rest,12,5,-0.0329282403218937,0.4990234375,True
GSM8546881,GBM006,MAC2,111,253,0.2612888804061166,-0.1076331138610839,12,Above rest,12,5,-0.0329282403218937,0.4990234375,True
GSM8546894,GBM050,E-MDSC,228,2235,-0.6845464125208991,-2.0595498085021973,1,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546883,GBM010,E-MDSC,41,967,-0.3905073026534211,-1.1671719551086426,2,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546899,GBM056,E-MDSC,154,927,-0.3797521126380366,-2.328951835632324,3,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546885,GBM030,E-MDSC,172,1287,-0.3738871201128378,-1.2923736572265625,4,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546886,GBM035,E-MDSC,65,702,-0.3664396012191668,-1.454897403717041,5,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546892,GBM048,E-MDSC,191,965,-0.3319576734452139,-1.383676052093506,6,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546884,GBM029,E-MDSC,74,279,-0.3180004484450703,-1.7945680618286133,7,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546882,GBM009,E-MDSC,80,157,-0.3076758762912546,-2.0560555458068848,8,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546915,GBM082,E-MDSC,601,1778,-0.3013043689887098,-1.3238677978515625,9,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546895,GBM051,E-MDSC,79,2150,-0.2980977000908912,-1.237238883972168,10,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546881,GBM006,E-MDSC,89,275,-0.2867605064813366,-1.7389841079711914,11,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546904,GBM065,E-MDSC,458,1729,-0.2556836211177942,-1.6933693885803225,12,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546900,GBM057,E-MDSC,52,1767,-0.2450445691393108,-1.3591279983520508,13,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546889,GBM043,E-MDSC,301,1409,-0.2089070439283045,-1.3647027015686035,14,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546897,GBM054,E-MDSC,1167,971,-0.1791319257477326,-1.2516355514526367,15,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546893,GBM049,E-MDSC,338,1661,-0.1279439875922604,-1.018380641937256,16,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
GSM8546905,GBM066,E-MDSC,208,810,-0.0886591080136947,-1.6427927017211914,17,Below rest,17,0,-0.3026058457897609,6.866455078125e-05,True
