geo_accession,sample,assigned_state,tested_marker_set,n_cells,mean_marker_set_score
GSM8546881,GBM006,MCG5,MCG1,43,0.9043508776794635
GSM8546881,GBM006,MCG5,MCG2,43,1.1339771694467717
GSM8546881,GBM006,MCG5,MCG3,43,0.6278923750330545
GSM8546881,GBM006,MCG5,MCG4,43,1.147245520946049
GSM8546881,GBM006,MCG5,MCG5,43,1.8621027623872597
GSM8546881,GBM006,MCG5,MAC1,43,0.6262371363494819
GSM8546881,GBM006,MCG5,MAC2,43,1.2101673743349595
GSM8546881,GBM006,MCG5,E-MDSC,43,1.1686497185595686
GSM8546881,GBM006,MCG5,M-MDSC,43,0.6900944936220036
GSM8546881,GBM006,MAC2,MCG1,111,1.4747690073976394
GSM8546881,GBM006,MAC2,MCG2,111,1.5601819582151362
GSM8546881,GBM006,MAC2,MCG3,111,0.5558877196697315
GSM8546881,GBM006,MAC2,MCG4,111,1.2867977471122538
GSM8546881,GBM006,MAC2,MCG5,111,1.2848780583343216
GSM8546881,GBM006,MAC2,MAC1,111,0.9058431726813897
GSM8546881,GBM006,MAC2,MAC2,111,2.109700497948879
GSM8546881,GBM006,MAC2,E-MDSC,111,0.9212123991663616
GSM8546881,GBM006,MAC2,M-MDSC,111,1.0299439693485295
GSM8546881,GBM006,E-MDSC,MCG1,89,0.4839859713967181
GSM8546881,GBM006,E-MDSC,MCG2,89,0.49731584235843634
GSM8546881,GBM006,E-MDSC,MCG3,89,-0.02587669695672968
GSM8546881,GBM006,E-MDSC,MCG4,89,0.39297086332504594
GSM8546881,GBM006,E-MDSC,MCG5,89,0.8745784101387615
GSM8546881,GBM006,E-MDSC,MAC1,89,0.0989039521126677
GSM8546881,GBM006,E-MDSC,MAC2,89,0.5776779714283571
GSM8546881,GBM006,E-MDSC,E-MDSC,89,1.6286342575629618
GSM8546881,GBM006,E-MDSC,M-MDSC,89,0.8893826464213682
GSM8546881,GBM006,M-MDSC,MCG1,34,0.5903989960165585
GSM8546881,GBM006,M-MDSC,MCG2,34,0.6563059279298
GSM8546881,GBM006,M-MDSC,MCG3,34,-0.14929931353281953
GSM8546881,GBM006,M-MDSC,MCG4,34,0.5318694249160864
GSM8546881,GBM006,M-MDSC,MCG5,34,0.7347656961049186
GSM8546881,GBM006,M-MDSC,MAC1,34,0.06405454067622914
GSM8546881,GBM006,M-MDSC,MAC2,34,1.0243266805469637
GSM8546881,GBM006,M-MDSC,E-MDSC,34,1.3085943701319767
GSM8546881,GBM006,M-MDSC,M-MDSC,34,1.7968834784451655
GSM8546882,GBM009,MCG2,MCG1,120,1.3481050893011546
GSM8546882,GBM009,MCG2,MCG2,120,1.8532837206791821
GSM8546882,GBM009,MCG2,MCG3,120,0.8268323771141193
GSM8546882,GBM009,MCG2,MCG4,120,0.9883679228807107
GSM8546882,GBM009,MCG2,MCG5,120,0.9770099846257655
GSM8546882,GBM009,MCG2,MAC1,120,0.6457526574143465
GSM8546882,GBM009,MCG2,MAC2,120,1.1814694599310556
GSM8546882,GBM009,MCG2,E-MDSC,120,0.6516334226840659
GSM8546882,GBM009,MCG2,M-MDSC,120,0.19354930485739855
GSM8546882,GBM009,E-MDSC,MCG1,80,0.7426676771527244
GSM8546882,GBM009,E-MDSC,MCG2,80,0.9093797961517188
GSM8546882,GBM009,E-MDSC,MCG3,80,0.27728967327475545
GSM8546882,GBM009,E-MDSC,MCG4,80,0.47087775993347175
GSM8546882,GBM009,E-MDSC,MCG5,80,0.8916344953567578
GSM8546882,GBM009,E-MDSC,MAC1,80,0.20557861147367434
GSM8546882,GBM009,E-MDSC,MAC2,80,0.5377391409873962
GSM8546882,GBM009,E-MDSC,E-MDSC,80,1.628679643959939
GSM8546882,GBM009,E-MDSC,M-MDSC,80,0.751323377869346
GSM8546883,GBM010,MCG1,MCG1,292,1.7313779475386382
GSM8546883,GBM010,MCG1,MCG2,292,1.5156053010765762
GSM8546883,GBM010,MCG1,MCG3,292,0.7343589345549069
GSM8546883,GBM010,MCG1,MCG4,292,1.1909168368251994
GSM8546883,GBM010,MCG1,MCG5,292,1.0043950710358807
GSM8546883,GBM010,MCG1,MAC1,292,0.8541184864250331
GSM8546883,GBM010,MCG1,MAC2,292,1.3223490220005978
GSM8546883,GBM010,MCG1,E-MDSC,292,0.8845724546214355
GSM8546883,GBM010,MCG1,M-MDSC,292,0.5331685189025043
GSM8546883,GBM010,MCG2,MCG1,352,1.2143985742083439
GSM8546883,GBM010,MCG2,MCG2,352,1.562697353267842
GSM8546883,GBM010,MCG2,MCG3,352,0.677721075504899
GSM8546883,GBM010,MCG2,MCG4,352,1.016656367046874
GSM8546883,GBM010,MCG2,MCG5,352,0.8526569199536621
GSM8546883,GBM010,MCG2,MAC1,352,0.7489084856780388
GSM8546883,GBM010,MCG2,MAC2,352,1.1003930640041766
GSM8546883,GBM010,MCG2,E-MDSC,352,0.7516683595450602
GSM8546883,GBM010,MCG2,M-MDSC,352,0.3947425046089021
GSM8546883,GBM010,MCG3,MCG1,83,0.5973170571495773
GSM8546883,GBM010,MCG3,MCG2,83,0.9705713247332098
GSM8546883,GBM010,MCG3,MCG3,83,1.4673473691004482
GSM8546883,GBM010,MCG3,MCG4,83,1.203031899289611
GSM8546883,GBM010,MCG3,MCG5,83,0.791869422134347
GSM8546883,GBM010,MCG3,MAC1,83,0.6899782866085662
GSM8546883,GBM010,MCG3,MAC2,83,0.7301716069983966
